,Nombre
12853,Opel COMBO Life EXPRESSION XL 1.5 TD S/S MT5 100 cv MY19
12898,Opel COMBO TOUR 1.4 CNG 120 cv M6 L1H1
13149,"Opel CORSA SELECTIVE PRO 1.4 GLP 90 CV MY 19,5"
13271,"Opel Grandland X SELECTIVE 1,2 Turbo S/S MT6 130 cv MY 19,5"
13272,"Opel Grandland X SELECTIVE 1,2 Turbo S/S MT6 130 cv MY19"
13520,Opel Insignia Sports Tourer 1.6 Turbo SHT Innovation Start & Stop Turbo Aut 200
13549,Opel Insignia ST 2.0 NFT TURBO Start & Stop 4x4 260cv AT8
13550,Opel Insignia ST 2.0 TURBO Start & Stop 4x4 260 CV AT8 (COUNTRY TOURER)
13551,Opel Insignia ST 2.0 TURBO Start & Stop 4x4 260 CV AT8 (GSI)
13744,"Opel Mokka INNOVATION 1,4 T. 4X2 GLP 140cv MY19,5"
14126,Opel Movano Furgon 2.3 CDTI 125 cv L2H2 3.500 kg M6 T. Delantera (FC2)
14129,Opel Movano Furgon 2.3 CDTI 125 cv L3H2 3.500 kg M6 T. Delantera
14665,Opel Vivaro Combi MY11 L2 2900 kg 146 cv E04 Combi 9
14666,Opel Vivaro Combi MY11 L2 2900 kg 146 cv MTA E04 Combi 9
14668,Opel Vivaro Combi MY12 2.0 CDTI 114 cv 2.900 kg M6 L1 Total acristalado E04
14717,Opel Vivaro Combi MY17´5 1.6 CDTI 125 cv L1H1 2.700 kg M6 Total acristalado
14719,Opel Vivaro Combi MY17´5 1.6 CDTI 125 cv L2H1 2.900 kg M6 Total acristalado
14870,"Opel Zafira INNOVATION 1.6 T S/S 136 cv 6V MY19,5"
14871,"Opel Zafira INNOVATION 2.0 CDTi S/S 170 cv 6V MY 19,5"
14872,Opel Zafira INNOVATION 2.0 CDTi S/S 170 cv 6V MY19
14911,Opel Zafira Tourer 1.6 CDTI Start & Stop 120 cv M6 7 Plazas
14913,Opel Zafira Tourer 1.6 CDTI Start & Stop 136 cv M6 5 Plazas
15036,Peugeot 108 108 TOP Allure VTi 72 ETG5
15037,Peugeot 108 108 TOP Allure VTi 72 MAN 5 Vel.
15038,Peugeot 108 108 TOP Allure VTi 72 MAN 5 Vel.
15039,Peugeot 108 108 TOP Collection VTi 72 MAN 5 Vel.
15040,Peugeot 108 108 TOP Collection VTi 72 MAN 5 Vel.
15056,Peugeot 208 208 5P Active PureTech 82 S&S MAN 5 Vel.
15057,Peugeot 208 208 5P GT Line BlueHDi 100 S&S 5vel MAN
15059,Peugeot 208 208 5P GT Line PureTech 110 S&S MAN 6 Vel.
15075,Peugeot 3008 3008 Allure HYBRID 225 e-EAT8
15080,Peugeot 3008 3008 GT HYBRID 225 e-EAT8
15085,Peugeot 3008 3008 GT Line HYBRID 225 e-EAT8
15308,Peugeot Nuevo 208 208 5P Active PureTech 100 S&S 6 Vel. MAN
15399,Peugeot Rifter Nuevo Rifter GT Line PureTech 110 S&S 6 Vel. MAN Standard
15401,Peugeot Traveller Traveller Active BlueHDi 120 S&S 6 Vel. MAN Compact
15444,Piaggio Vehículos comerciales PORTER COMBI 4 STD ELECTRICO E6
15682,Renault Megane MB4 Blue dCi 85 kW (115CV) EDC - 17 (RALU17)(Semi: EA3 A6A6T *GLN A6A6T *BOS A6A6T)
15688,Renault Megane MB4 R.S. Trophy Tce GPF 221 kW (300CV) (Semi: TPY M8M6T)
15692,Renault Megane MB4 Tce GPF 103 kW (140CV) - 18 (Semi: EA3 NBM6T con llanta 17 y Semi: GLN NBM6T con llanta 17)
15964,Renault Trafic Passenger TRP Energy dCi 88 kW (120 CV) Euro 6c (8 plazas)
16078,Scania Rígido LB8x2*6 410cv GNL/GNC Rígido LB8x2*6 410cv GNL/GNC
16080,Scania Rígido LB8x2/*6 340cv GNL/GNC Rígido LB8x2/*6 340cv GNL/GNC
16386,SEAT LEON 1.0 TSI 81KW S/S STYLE EDITION ST MY19
16713,SKODA FABIA COMBI MY17 1.0 SRE MAN. 5V 75 CV PK61
16788,SKODA KODIAQ MY18 1.4 TSI AUT. 6V 110KW (150CV) 7PL PK61
16944,SKODA OCTAVIA COMBI MY16 2.0 TFSI AUT. 6V 230 CV PK64
16946,SKODA OCTAVIA COMBI MY16 2.0 TFSI MAN. 6V 230 CV PK64
17312,SKODA SUPERB 1.8 TFSI AUT. 7V 160 CV
17355,SKODA SUPERB COMBI MY16 1.6 TDI MAN. 6V 120 CV PK63
17357,SKODA SUPERB COMBI MY16 1.6 TDI MAN. 6V GREEN LINE 120 CV PK63
17482,SKODA SUPERB MY17 1.6 TDI MAN. 6V 120 CV PK62
17867,Toyota Canarias Rav4 (F9) 2.5 4x2 CVT Alisio Plus
17869,Toyota Canarias Rav4 (F9) 2.5 4x4 CVT Agua
18415,Volkswagen Turismos TIGUAN Tiguan Edition 1.5 TSI 96 kW (130CV) 6 vel.
18583,Volkswagen Vehículos Comerciales Crafter Furgón Largo 2.0 TDI 177CV 4M DSG
18651,Volkswagen Vehículos Comerciales Transporter Kombi Largo 2.0 TDI 150CV 4M
18918,Volvo V40 T2 Kinetic Momentum Summum R-Design Momentum MY16-1
19197,Volvo XC90 D4 R-Design MY17 Aut
19198,Volvo XC90 D5 AWD Inscription MY17 Aut
19199,Volvo XC90 D5 AWD Kinetic MY17 Aut
19200,Volvo XC90 D5 AWD Kinetic/Momentum/Inscription/R-Design MY16
19201,Volvo XC90 D5 AWD Kinetic/Momentum/Inscription/R-Design MY16-1
19202,Volvo XC90 D5 AWD Momentum MY17 Aut
19203,Volvo XC90 D5 AWD R-Design MY17 Aut
19204,Volvo XC90 Momentum (5 asientos) D4 FWD Automática 8 velocidades (llanta 18 y 19 p) MY18
19205,Volvo XC90 Momentum (5 asientos) D4 FWD Automática 8 velocidades (llanta 20 - 22 p) MY18
19206,Volvo XC90 Momentum / R-Design / Inscription / D5 AWD Automática 8 velocidades 5 Asientos MY19
19207,Volvo XC90 Momentum / R-Design / Inscription / D5 AWD Automática 8 velocidades 7 Asientos MY19
19208,Volvo XC90 Momentum / R-Design / Inscription / Excellence T8 Twin AWD Automática 8 velocidades 7 Asientos MY19
19209,Volvo XC90 Momentum / R-Design / Inscription / T5 AWD Automática 8 velocidades 7 Asientos MY19
19210,Volvo XC90 Momentum / R-Design / Inscription / T6 AWD Automática 8 velocidades 7 Asientos MY19
19211,"Volvo XC90 Momentum, Business Plus, Inscription y R-Design T8 Twin FWD Aut 8 vel 7 plz (llan B 19-20p) POL MY19"
19212,"Volvo XC90 Momentum, Business Plus, Inscription y R-Design T8 Twin FWD Aut 8 vel 7 plz (llan C 21-22p) POL MY19"
